S20, 5
S07, Blotteritem, {'party2': 'S07', 'party1': 'B35', 'price': 108, 'qty': 1, 'time': 95.2750000000131, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B28', 'party1': 'S07', 'price': 103, 'qty': 1, 'time': 157.63749999999357, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B35', 'party1': 'S07', 'price': 101, 'qty': 1, 'time': 175.69999999997714, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B37', 'party1': 'S07', 'price': 109, 'qty': 1, 'time': 214.69999999994167, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B22', 'party1': 'S07', 'price': 97, 'qty': 1, 'time': 221.78749999993522, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'S07', 'party1': 'B30', 'price': 94, 'qty': 1, 'time': 259.0999999999013, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B28', 'party1': 'S07', 'price': 104, 'qty': 1, 'time': 275.4749999998864, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B23', 'party1': 'S07', 'price': 96, 'qty': 1, 'time': 305.6874999998589, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B36', 'party1': 'S07', 'price': 105, 'qty': 1, 'time': 363.79999999980606, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B32', 'party1': 'S07', 'price': 105, 'qty': 1, 'time': 425.03749999975037, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'S07', 'party1': 'B26', 'price': 108.37592592592593, 'qty': 1, 'time': 442.84999999973417, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B23', 'party1': 'S07', 'price': 100, 'qty': 1, 'time': 460.7124999997179, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B23', 'party1': 'S07', 'price': 104, 'qty': 1, 'time': 502.3249999996801, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B36', 'party1': 'S07', 'price': 100, 'qty': 1, 'time': 539.9249999997728, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'S07', 'party1': 'B36', 'price': 112.30555555555556, 'qty': 1, 'time': 559.6999999998447, 'type': 'Trade'}
S07, Blotteritem, {'party2': 'B37', 'party1': 'S07', 'price': 103, 'qty': 1, 'time': 575.8749999999036, 'type': 'Trade'}
B18, 19
B18, Blotteritem, {'party2': 'S18', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 3.700000000000019, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S11', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 68.35000000000697, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S04', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 96.6125000000134, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S12', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 133.67500000001536, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S04', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 157.2749999999939, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S15', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 178.9374999999742, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S06', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 205.46249999995007, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S00', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 220.79999999993612, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S04', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 297.5499999998663, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S11', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 325.4999999998409, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S06', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 358.64999999981075, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S00', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 376.6249999997944, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S12', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 436.7374999997397, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S04', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 464.6999999997143, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S03', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 481.47499999969904, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S14', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 507.73749999967515, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'B18', 'party1': 'S05', 'price': 92.33333333333333, 'qty': 1, 'time': 518.1749999996937, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S14', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 568.5124999998768, 'type': 'Trade'}
B18, Blotteritem, {'party2': 'S06', 'party1': 'B18', 'price': 96.0, 'qty': 1, 'time': 581.9874999999258, 'type': 'Trade'}
B19, 15
B19, Blotteritem, {'party2': 'S12', 'party1': 'B19', 'price': 97, 'qty': 1, 'time': 65.03750000000622, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S04', 'party1': 'B19', 'price': 97, 'qty': 1, 'time': 129.0125000000196, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S00', 'party1': 'B19', 'price': 95, 'qty': 1, 'time': 174.5374999999782, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S12', 'party1': 'B19', 'price': 96, 'qty': 1, 'time': 196.46249999995825, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S12', 'party1': 'B19', 'price': 97, 'qty': 1, 'time': 231.12499999992673, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S17', 'party1': 'B19', 'price': 97, 'qty': 1, 'time': 292.46249999987094, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S12', 'party1': 'B19', 'price': 94, 'qty': 1, 'time': 304.99999999985954, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S11', 'party1': 'B19', 'price': 97, 'qty': 1, 'time': 333.9749999998332, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S06', 'party1': 'B19', 'price': 96, 'qty': 1, 'time': 397.54999999977537, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S04', 'party1': 'B19', 'price': 95, 'qty': 1, 'time': 404.92499999976866, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S00', 'party1': 'B19', 'price': 97, 'qty': 1, 'time': 453.4874999997245, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S17', 'party1': 'B19', 'price': 97, 'qty': 1, 'time': 500.6749999996816, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S06', 'party1': 'B19', 'price': 96, 'qty': 1, 'time': 508.0374999996749, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S06', 'party1': 'B19', 'price': 97, 'qty': 1, 'time': 533.6124999997498, 'type': 'Trade'}
B19, Blotteritem, {'party2': 'S17', 'party1': 'B19', 'price': 96, 'qty': 1, 'time': 571.7124999998885, 'type': 'Trade'}
S34, 0
S19, 4
S19, Blotteritem, {'party2': 'B39', 'party1': 'S19', 'price': 98.0, 'qty': 1, 'time': 481.537499999699, 'type': 'Trade'}
